soap_cutoff,atom_sigma,noise,numb_training_atoms,av_train_rmse,av_test_rmse
9.5,0.35,0.1732385328767658,7,0.033420316515621586,0.4275167794019331
9.5,0.35,0.1732385328767658,15,0.054191839145324404,0.4524358988013148
9.5,0.35,0.1732385328767658,31,0.10380320302696089,0.4485296047902033
9.5,0.35,0.1732385328767658,62,0.12064399276739857,0.45467799250756735
9.5,0.35,0.1732385328767658,125,0.12560520482516527,0.4834242503446594
9.5,0.35,0.1732385328767658,250,0.13954976901257635,0.48433414360583377
9.5,0.35,0.1732385328767658,500,0.13642399509912856,0.44163725643669016
9.5,0.35,0.1732385328767658,1000,0.14971955895840336,0.41824106904586705
9.5,0.35,0.1732385328767658,2000,0.15380357519709256,0.4292589551958284
9.5,0.35,0.1732385328767658,4000,0.15536284645132634,0.44125345402622235
9.5,0.35,0.1732385328767658,8000,0.15286151774811466,0.4734719744832595
9.5,0.35,0.1732385328767658,16000,0.14877314387271726,0.4763944723876903

